fold,model,Vitória_order,Vitória_fourier_order,Belo Horizonte_order,Belo Horizonte_fourier_order,Rio de Janeiro_order,Rio de Janeiro_fourier_order,São Paulo_order,São Paulo_fourier_order,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,bandwidth,reg,iters,exponent,diag
7,xrfm_cases_climate,,,,,,,,,,,,,,,,,,5.0,0.1,2.0,0.5,True
7,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,5.0,0.1,2.0,0.5,True
8,baseline,,,,,,,,,,,,,,,,,,,,,,
8,sarima,"(1, 0, 0)",1.0,"(0, 1, 0)",1.0,"(2, 1, 1)",1.0,"(2, 1, 0)",2.0,,,,,,,,,,,,,,
8,xgb_cases_only,,,,,,,,,500.0,5.0,0.1,0.6,1.0,3.0,1.0,0.5,1.0,,,,,
8,xgb_cases_climate,,,,,,,,,500.0,5.0,0.1,0.6,1.0,3.0,1.0,0.5,1.0,,,,,
8,xgb_cases_climate_sst,,,,,,,,,500.0,5.0,0.1,0.6,1.0,3.0,1.0,0.5,1.0,,,,,
8,xrfm_cases_only,,,,,,,,,,,,,,,,,,30.0,0.01,1.0,2.0,True
8,xrfm_cases_climate,,,,,,,,,,,,,,,,,,30.0,0.01,1.0,2.0,True
8,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
9,baseline,,,,,,,,,,,,,,,,,,,,,,
9,sarima,"(0, 1, 0)",1.0,"(2, 1, 0)",2.0,"(0, 1, 0)",2.0,"(0, 1, 0)",2.0,,,,,,,,,,,,,,
9,xgb_cases_only,,,,,,,,,300.0,2.0,0.05,0.5,0.9,15.0,10.0,1.0,0.1,,,,,
9,xgb_cases_climate,,,,,,,,,300.0,2.0,0.05,0.5,0.9,15.0,10.0,1.0,0.1,,,,,
9,xgb_cases_climate_sst,,,,,,,,,200.0,5.0,0.05,0.5,0.8,10.0,5.0,5.0,0.5,,,,,
9,xrfm_cases_only,,,,,,,,,,,,,,,,,,30.0,0.01,1.0,2.0,True
9,xrfm_cases_climate,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
9,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
10,baseline,,,,,,,,,,,,,,,,,,,,,,
10,sarima,"(0, 1, 0)",1.0,"(2, 1, 0)",2.0,"(1, 0, 0)",1.0,"(0, 1, 0)",2.0,,,,,,,,,,,,,,
10,xgb_cases_only,,,,,,,,,1000.0,3.0,0.03,0.9,0.7,5.0,0.1,0.1,0.0,,,,,
10,xgb_cases_climate,,,,,,,,,1000.0,3.0,0.03,0.9,0.7,5.0,0.1,0.1,0.0,,,,,
10,xgb_cases_climate_sst,,,,,,,,,500.0,5.0,0.2,0.6,1.0,20.0,0.1,0.0,0.5,,,,,
10,xrfm_cases_only,,,,,,,,,,,,,,,,,,30.0,0.0001,1.0,2.0,True
10,xrfm_cases_climate,,,,,,,,,,,,,,,,,,30.0,0.0001,1.0,2.0,True
10,xrfm_cases_climate_sst,,,,,,,,,,,,,,,,,,50.0,0.01,2.0,2.0,True
