model,median_mae_1step,std_mae_1step,rank_1step,median_mae_ar,std_mae_ar,rank_ar,combined_rank,has_ar_coverage
xrfm_cases_climate_sst,54.874680894206676,865.4545150823844,3.0,451.3525997308584,4092.2204923335735,3.0,3.0,True
xgb_cases_climate,51.7537360558143,2935.40888507115,3.0,530.5478688753568,3930.599863691125,3.5,3.25,True
xgb_cases_only,55.08838191399207,2907.229703555679,5.0,481.8530349364647,3570.604823783415,2.0,3.5,True
xgb_cases_climate_sst,53.591116391695465,3129.6222214340605,4.5,433.2154262616084,5026.950627765638,3.0,3.75,True
xrfm_cases_climate,52.70561038738411,1089.4221781682722,2.0,531.0033819492046,11419.640392355208,5.5,3.75,True
xrfm_cases_only,53.655811846169755,1384.126838254698,3.5,626.0578948686707,3627.3871830205653,4.0,3.75,True
sarima,309.6986458919508,3219.0616583534684,7.0,,,9.0,8.0,False
baseline,382.188679245283,4558.067226836435,8.0,,,9.0,8.5,False
