fold,model,city,mae,rmse,mape
1,baseline,Belo Horizonte,3251.173076923077,5932.996588506584,62.93068549915927
1,baseline,Rio de Janeiro,547.8461538461538,836.1386984686949,140.62899937025838
1,baseline,São Paulo,1447.7307692307693,2926.22692873631,601.6263973758955
1,baseline,Vitória,123.23076923076923,143.9217201761483,253.21147683857177
1,sarima,Vitória,115.29283588278525,130.58742913945727,331.9282242243806
1,sarima,Belo Horizonte,2842.9087352189235,5083.320476978696,89.26892433723698
1,sarima,Rio de Janeiro,320.20800392909223,642.1080923090126,47.42638021803821
1,sarima,São Paulo,1074.45779622774,1705.1790869625204,553.7015337871404
1,xgb_cases_only,Belo Horizonte,1040.230360031128,2034.9888637999004,20.84792451375286
1,xgb_cases_only,Rio de Janeiro,121.19973131326529,226.11264255843932,23.71087229403716
1,xgb_cases_only,São Paulo,58.65689321664664,94.28360171979904,24.30274687946003
1,xgb_cases_only,Vitória,25.153458081758938,37.88770871458552,47.56173521037321
1,xgb_cases_climate,Belo Horizonte,1073.5463262704702,2098.250308554541,19.692681923050507
1,xgb_cases_climate,Rio de Janeiro,120.02293256612924,224.52473618691508,21.66616642876219
1,xgb_cases_climate,São Paulo,45.97402748694787,77.02652171739794,20.240195471350024
1,xgb_cases_climate,Vitória,26.39203218313364,37.19761964852078,54.86705970416328
1,xgb_cases_climate_sst,Belo Horizonte,1018.8490433326134,1962.284822959371,20.528882875646318
1,xgb_cases_climate_sst,Rio de Janeiro,111.47814420553354,204.79263645556415,22.562866425081076
1,xgb_cases_climate_sst,São Paulo,49.28628950852614,80.15561524363736,21.803493775986162
1,xgb_cases_climate_sst,Vitória,28.315528062673714,39.097178916153375,55.62527110441297
1,xrfm_cases_only,Belo Horizonte,645.8059820028452,1323.9792310373628,16.80607230047221
1,xrfm_cases_only,Rio de Janeiro,117.62898628528302,222.59921930730673,23.98964377658657
1,xrfm_cases_only,São Paulo,66.8046766427847,101.64997705108208,29.932955828901047
1,xrfm_cases_only,Vitória,24.435454625349777,36.45382502111168,40.315228235579255
1,xrfm_cases_climate,Belo Horizonte,512.3265303098239,1041.6631020902066,14.3811209549569
1,xrfm_cases_climate,Rio de Janeiro,125.0192799934974,239.66181263772793,20.695131102770688
1,xrfm_cases_climate,São Paulo,65.24497780433067,97.68271943752518,28.258306931324316
1,xrfm_cases_climate,Vitória,21.806677231421837,33.584560719030904,38.74799550526167
1,xrfm_cases_climate_sst,Belo Horizonte,641.8886536818284,1344.552333092911,16.66180010317718
1,xrfm_cases_climate_sst,Rio de Janeiro,115.77205892709586,225.7556002873495,20.072430171178784
