"SE" "temp_med" "casos" "pop"
"144" 201240 23.2897142857143 14 263915
"145" 201241 24.4304714285714 14 263915
"146" 201242 22.1930285714286 4 263915
"147" 201243 21.9914142857143 10 263915
"148" 201244 23.7180142857143 9 263915
"149" 201245 24.8708428571429 12 263915
"150" 201246 24.3507142857143 9 263915
"151" 201247 25.301 19 263915
"152" 201248 25.0473 18 263915
"153" 201249 26.8790142857143 26 263915
"154" 201250 25.9445428571429 31 263915
"155" 201251 26.5157571428571 28 263915
"156" 201252 26.8190714285714 16 263915
"157" 201301 24.4708857142857 55 263915
"158" 201302 25.3360571428571 50 263915
"159" 201303 25.6722857142857 46 263915
"160" 201304 25.0012285714286 76 263915
"161" 201305 27.2616428571429 91 263915
"162" 201306 24.7360714285714 133 263915
"163" 201307 24.1994571428571 104 263915
"164" 201308 25.6362714285714 150 263915
"165" 201309 25.4736857142857 197 263915
"166" 201310 24.3569714285714 282 263915
"167" 201311 23.1306428571429 473 263915
"168" 201312 21.9030428571429 536 263915
"169" 201313 21.2384428571429 471 263915
"170" 201314 22.7686857142857 461 263915
"171" 201315 22.5672285714286 530 263915
"172" 201316 16.8261428571429 447 263915
"173" 201317 20.3602142857143 358 263915
"174" 201318 22.9590571428571 244 263915
"175" 201319 15.8176285714286 171 263915
"176" 201320 17.0590857142857 132 263915
"177" 201321 18.3850142857143 94 263915
"178" 201322 18.1482 86 263915
"179" 201323 17.2879857142857 57 263915
"180" 201324 17.4579 51 263915
"181" 201325 16.7612285714286 27 263915
"182" 201326 16.8684714285714 16 263915
"183" 201327 18.5616714285714 24 263915
"184" 201328 19.8974428571429 17 263915
"185" 201329 16.2164714285714 12 263915
"186" 201330 8.72686142857143 2 263915
"187" 201331 19.8089142857143 8 263915
"188" 201332 18.1444714285714 8 263915
"189" 201333 11.4328914285714 6 263915
"190" 201334 18.7097571428571 14 263915
"191" 201335 12.8758214285714 11 263915
"192" 201336 20.5622571428571 25 263915
"193" 201337 24.2864714285714 31 263915
"194" 201338 17.0108714285714 20 263915
"195" 201339 16.0634571428571 9 263915
"196" 201340 19.6266857142857 17 263915
"197" 201341 20.8632142857143 25 263915
"198" 201342 22.1672714285714 26 263915
"199" 201343 24.5692 45 263915
"200" 201344 23.9886571428571 61 263915
"201" 201345 23.4942142857143 81 263915
"202" 201346 25.3244 62 263915
"203" 201347 24.2862571428571 49 263915
"204" 201348 25.0274857142857 54 263915
"205" 201349 24.9041857142857 34 263915
"206" 201350 24.3609142857143 40 263915
"207" 201351 26.0317428571429 33 263915
"208" 201352 27.1574714285714 29 263915
"209" 201401 25.7018714285714 15 263915
"210" 201402 26.2654428571429 26 263915
"211" 201403 24.5681571428571 20 263915
"212" 201404 28.1387142857143 31 263915
"213" 201405 27.9504 38 263915
"214" 201406 30.0663428571429 30 263915
"215" 201407 26.8977428571429 25 263915
"216" 201408 26.1905428571429 16 263915
"217" 201409 24.0801857142857 18 263915
"218" 201410 23.1426857142857 16 263915
"219" 201411 24.8309857142857 21 263915
"220" 201412 23.7371714285714 20 263915
"221" 201413 23.2346857142857 14 263915
"222" 201414 24.8302285714286 26 263915
"223" 201415 24.6550714285714 17 263915
"224" 201416 19.1112428571429 15 263915
"225" 201417 19.4876428571429 27 263915
"226" 201418 19.4490142857143 26 263915
"227" 201419 20.8476285714286 26 263915
"228" 201420 19.7345 42 263915
"229" 201421 18.6169857142857 39 263915
"230" 201422 13.9933285714286 18 263915
"231" 201423 17.1384714285714 11 263915
"232" 201424 19.0638428571429 21 263915
"233" 201425 16.5242571428571 24 263915
"234" 201426 19.2401571428571 14 263915
"235" 201427 17.8957857142857 13 263915
"236" 201428 16.4310428571429 17 263915
"237" 201429 18.1620571428571 12 263915
"238" 201430 14.7939 9 263915
"239" 201431 19.0410857142857 8 263915
"240" 201432 20.3960142857143 5 263915
"241" 201433 18.0092428571429 8 263915
"242" 201434 22.5887857142857 10 263915
"243" 201435 17.6724285714286 7 263915
"244" 201436 22.6949714285714 13 263915
"245" 201437 23.9998285714286 20 263915
"246" 201438 20.1547 9 263915
"247" 201439 20.5935857142857 5 263915
"248" 201440 22.5489142857143 10 263915
"249" 201441 23.8663857142857 15 263915
"250" 201442 29.1582 10 263915
"251" 201443 24.9001285714286 12 263915
"252" 201444 26.2196714285714 10 263915
"253" 201445 24.0671285714286 14 263915
"254" 201446 22.1041714285714 11 263915
"255" 201447 23.4687285714286 21 263915
"256" 201448 25.1694285714286 11 263915
"257" 201449 24.4620857142857 11 263915
"258" 201450 25.6749857142857 32 263915
"259" 201451 25.9503857142857 18 263915
"260" 201452 24.5134714285714 17 263915
"261" 201453 24.6449285714286 10 263915
"262" 201501 27.1409285714286 16 263915
"263" 201502 27.0811571428571 11 263915
"264" 201503 26.2783285714286 16 263915
"265" 201504 25.3406285714286 39 263915
"266" 201505 25.9666714285714 20 263915
"267" 201506 26.5814857142857 42 263915
"268" 201507 24.6845428571429 51 263915
"269" 201508 26.4487571428571 67 263915
"270" 201509 25.5333857142857 107 263915
"271" 201510 24.7738285714286 95 263915
"272" 201511 25.6323142857143 229 263915
"273" 201512 22.4298428571429 281 263915
"274" 201513 21.9614142857143 382 263915
"275" 201514 22.0494285714286 472 263915
"276" 201515 22.3881714285714 437 263915
"277" 201516 21.5137714285714 359 263915
"278" 201517 20.4059 474 263915
"279" 201518 17.1974285714286 432 263915
"280" 201519 17.6643285714286 281 263915
"281" 201520 21.0485285714286 266 263915
"282" 201521 18.4151857142857 214 263915
"283" 201522 18.9537428571429 169 263915
"284" 201523 20.9063857142857 151 263915
"285" 201524 14.5147142857143 104 263915
"286" 201525 19.2194 78 263915
"287" 201526 16.9411342857143 49 263915
"288" 201527 15.4977857142857 34 263915
"289" 201528 18.0688142857143 36 263915
"290" 201529 15.3694285714286 38 263915
"291" 201530 19.8401428571429 32 263915
"292" 201531 24.0006285714286 42 263915
"293" 201532 23.4471 33 263915
"294" 201533 19.8986142857143 29 263915
"295" 201534 19.4857428571429 32 263915
"296" 201535 21.5592714285714 21 263915
"297" 201536 17.6382857142857 17 263915
"298" 201537 24.1176857142857 19 263915
"299" 201538 26.1336857142857 12 263915
"300" 201539 20.6478142857143 10 263915
"301" 201540 24.2081714285714 19 263915
"302" 201541 21.3861428571429 26 263915
"303" 201542 26.5952571428571 38 263915
"304" 201543 23.2743571428571 57 263915
"305" 201544 22.383425 36 263915
"306" 201545 24.9912285714286 47 263915
"307" 201546 22.0663142857143 49 263915
"308" 201547 23.5784857142857 100 263915
"309" 201548 22.5891857142857 130 263915
"310" 201549 23.1588571428571 181 263915
"311" 201550 22.7504142857143 138 263915
"312" 201551 23.9175571428571 86 263915
"313" 201552 23.6328714285714 68 263915
"314" 201601 24.4679714285714 256 263915
"315" 201602 24.5366 416 263915
"316" 201603 22.7704285714286 754 263915
"317" 201604 23.5298428571429 1157 263915
"318" 201605 24.5785428571429 1299 263915
"319" 201606 27.3126428571429 1640 263915
"320" 201607 25.5895571428571 1801 263915
"321" 201608 23.8583857142857 2102 263915
"322" 201609 21.6730714285714 1891 263915
"323" 201610 19.3317428571429 1403 263915
"324" 201611 21.9807142857143 1151 263915
"325" 201612 21.3049 831 263915
"326" 201613 19.8433714285714 926 263915
"327" 201614 24.6201714285714 850 263915
"328" 201615 25.6327 535 263915
"329" 201616 24.2428571428571 522 263915
"330" 201617 14.66013 322 263915
"331" 201618 13.8122114285714 267 263915
"332" 201619 17.8085714285714 216 263915
"333" 201620 14.1083142857143 120 263915
"334" 201621 13.2043657142857 57 263915
"335" 201622 12.0016814285714 41 263915
"336" 201623 6.47886571428571 14 263915
"337" 201624 10.6720527142857 21 263915
"338" 201625 13.2348071428571 15 263915
"339" 201626 16.3445857142857 12 263915
"340" 201627 13.8171142857143 7 263915
"341" 201628 17.9541428571429 11 263915
"342" 201629 7.62302285714286 14 263915
"343" 201630 14.6612571428571 13 263915
"344" 201631 19.1196142857143 12 263915
"345" 201632 12.9503942857143 10 263915
"346" 201633 17.3167857142857 15 263915
"347" 201634 13.72306 15 263915
"348" 201635 16.7189428571429 6 263915
"349" 201636 11.3692714285714 14 263915
"350" 201637 16.3100857142857 15 263915
