"SE" "temp_med" "casos" "pop"
"133" 201229 19.5047857142857 785 6498837
"134" 201230 22.7463571428571 599 6498837
"135" 201231 23.1436 573 6498837
"136" 201232 21.2610714285714 452 6498837
"137" 201233 22.3821428571429 478 6498837
"138" 201234 22.3749857142857 377 6498837
"139" 201235 20.8764142857143 326 6498837
"140" 201236 22.1071571428571 211 6498837
"141" 201237 24.1964285714286 372 6498837
"142" 201238 25.6785 271 6498837
"143" 201239 20.4518857142857 190 6498837
"144" 201240 23.8991571428571 173 6498837
"145" 201241 24.9870714285714 204 6498837
"146" 201242 23.4884714285714 224 6498837
"147" 201243 26.0582 224 6498837
"148" 201244 25.9390428571429 191 6498837
"149" 201245 24.9488571428571 225 6498837
"150" 201246 23.0893 187 6498837
"151" 201247 24.5371571428571 206 6498837
"152" 201248 24.0523 278 6498837
"153" 201249 28.3878142857143 315 6498837
"154" 201250 27.5107285714286 349 6498837
"155" 201251 28.3084857142857 354 6498837
"156" 201252 29.7473428571429 332 6498837
"157" 201301 27.5989428571429 436 6498837
"158" 201302 26.9013857142857 723 6498837
"159" 201303 25.6266142857143 810 6498837
"160" 201304 25.8530142857143 898 6498837
"161" 201305 25.3833857142857 1156 6498837
"162" 201306 25.7053428571429 1131 6498837
"163" 201307 29.2732714285714 1272 6498837
"164" 201308 29.3973 2482 6498837
"165" 201309 26.3829857142857 3431 6498837
"166" 201310 27.9661 3609 6498837
"167" 201311 27.4130142857143 4818 6498837
"168" 201312 25.2358285714286 5121 6498837
"169" 201313 24.5895857142857 4767 6498837
"170" 201314 25.5585428571429 6296 6498837
"171" 201315 25.6377428571429 6193 6498837
"172" 201316 22.9354857142857 6214 6498837
"173" 201317 22.5548285714286 3810 6498837
"174" 201318 24.3170285714286 3125 6498837
"175" 201319 21.9845142857143 2410 6498837
"176" 201320 23.5595857142857 3545 6498837
"177" 201321 22.3052428571429 1514 6498837
"178" 201322 22.2563142857143 1102 6498837
"179" 201323 22.3558428571429 879 6498837
"180" 201324 22.7068714285714 589 6498837
"181" 201325 22.6614 495 6498837
"182" 201326 22.5835142857143 370 6498837
"183" 201327 20.9448285714286 215 6498837
"184" 201328 20.3349857142857 205 6498837
"185" 201329 23.1526 209 6498837
"186" 201330 19.6500857142857 98 6498837
"187" 201331 20.3139142857143 92 6498837
"188" 201332 22.8795428571429 130 6498837
"189" 201333 20.2856714285714 212 6498837
"190" 201334 22.4046571428571 69 6498837
"191" 201335 20.8422857142857 76 6498837
"192" 201336 22.2448142857143 238 6498837
"193" 201337 23.8322285714286 66 6498837
"194" 201338 25.7326 74 6498837
"195" 201339 22.0636 89 6498837
"196" 201340 23.1462714285714 59 6498837
"197" 201341 21.1080857142857 70 6498837
"198" 201342 23.8788142857143 56 6498837
"199" 201343 26.0967 72 6498837
"200" 201344 22.7656142857143 66 6498837
"201" 201345 22.5627285714286 54 6498837
"202" 201346 26.5132714285714 71 6498837
"203" 201347 25.0672714285714 75 6498837
"204" 201348 25.1612714285714 109 6498837
"205" 201349 26.6154857142857 115 6498837
"206" 201350 25.2312714285714 121 6498837
"207" 201351 24.2871857142857 73 6498837
"208" 201352 26.283 69 6498837
"209" 201401 29.5375714285714 55 6498837
"210" 201402 28.5874714285714 166 6498837
"211" 201403 27.9237714285714 184 6498837
"212" 201404 28.8765 162 6498837
"213" 201405 29.601 106 6498837
"214" 201406 30.3074571428571 119 6498837
"215" 201407 29.5 143 6498837
"216" 201408 26.0923571428571 117 6498837
"217" 201409 29.2750857142857 91 6498837
"218" 201410 25.9911285714286 59 6498837
"219" 201411 28.1210428571429 91 6498837
"220" 201412 28.8555 123 6498837
"221" 201413 24.3000285714286 99 6498837
"222" 201414 25.9364571428571 99 6498837
"223" 201415 26.0146285714286 99 6498837
"224" 201416 24.2687285714286 61 6498837
"225" 201417 24.5069571428571 65 6498837
"226" 201418 21.9155857142857 79 6498837
"227" 201419 24.0784 99 6498837
"228" 201420 21.4625142857143 84 6498837
"229" 201421 23.4151142857143 100 6498837
"230" 201422 21.1776571428571 49 6498837
"231" 201423 22.2529428571429 60 6498837
"232" 201424 23.2640857142857 46 6498837
"233" 201425 21.6574571428571 53 6498837
"234" 201426 21.5333 63 6498837
"235" 201427 22.8102285714286 52 6498837
"236" 201428 21.5831 47 6498837
"237" 201429 21.1749857142857 49 6498837
"238" 201430 20.9464857142857 36 6498837
"239" 201431 19.0296714285714 59 6498837
"240" 201432 20.5389142857143 56 6498837
